lemma,bridge_rank,pos,,
malus,225,Adjective,,
venditor,6032,Noun,,
grammatica,8659,Noun,,
emptor,3793,Noun,,
interrogo,1250,Verb,,
verus,292,Adjective,,
aliquando,826,Adverb,,
carthago,2048,Noun,,
poeta,816,Noun,,
indoctus,4488,Adjective,,
respondeo,293,Verb,,
doctus,1466,Adjective,,
nego,284,Verb,,
verum,1039,Noun,,
paciscor,3501,Verb,,
placeo,275,Verb,,
firmo,1649,Verb,,
item,790,Adverb,,
incommodum,2033,Noun,,
quisque,156,Pronoun,,
poeticus,6740,Adjective,,
figmentum,13204,Noun,,
penitus,1548,Adverb,,
inane,2771,Noun,,
utilis,782,Adjective,,
praepono,2104,Verb,,
duo,154,Number,,
quattuor,467,Number,,
odiosus,4918,Adjective,,
cantio,11694,Noun,,
dulcis,493,Adjective,,
equus,305,Noun,,
ligneus,3852,Adjective,,
armo,1344,Verb,,
troia,1168,Noun,,
incendium,1370,Noun,,
umbra,587,Noun,,
creusa,6740,Noun,,
canto,1615,Verb,,
homerus,2994,Noun,,
peritus,1826,Adjective,,
texo,3962,Verb,,
vanus,1307,Adjective,,
vergilius,2328,Noun,,
difficultas,2154,Noun,,
edisco,5170,Verb,,
peregrinus,2048,Adjective,,
fel,5038,Noun,,
aspergo,4455,Verb,,
suavitas,4918,Noun,,
fabulosus,6619,Adjective,,
narratio,9485,Noun,,
saevus,575,Adjective,,
terror,1192,Noun,,
vehementer,1407,Adverb,,
metus,315,Noun,,
cruciatus,2650,Noun,,
blandimentum,6512,Noun,,
et(iam),172,Adverb,,
iocus,1891,Noun,,
arrideo,4585,Verb,,
laetitia,1631,Noun,,
alludo,7620,Verb,,
onus,1090,Noun,,
pario,847,Verb,,
hinc,301,Adverb,,
eluceo,6882,Verb,,
vis,108,Noun,,
meticulosus,15606,Adjective,,
necessitas,1079,Noun,,
fluxus,15606,Noun,,
restringo,6882,Verb,,
ferula,6882,Noun,,
martyr,6032,Noun,,
misceo,579,Verb,,
salubris,2387,Adjective,,
amaritudo,7452,Noun,,
revoco,884,Verb,,
iucunditas,5231,Noun,,
pestifer,4488,Adjective,,
qua,638,Adverb,,
deprecatio,7827,Noun,,
sub,193,Preposition,,
disciplina,1204,Noun,,
eruo,3009,Verb,,
pessimus,5170,Adjective,,
dulcesco,15606,Verb,,
seductio,17604,Noun,,
amplexor,6216,Verb,,
manus,79,Noun,,
praecordia,3679,Noun,,
rex,82,Noun,,
flumen,374,Noun,,
quamdiu,2202,Adverb,,
